question,choices,answer
"[header] How to swim freestyle [title] Perfect your hand placement and entry. [step] To begin your stroke, your hands should be relaxed and your fingers should be held together. Put your hand into the water fingers first about 15 inches above your head.","['Your palm should be tilted at a 45 degree angle facing out so your index and middle finger enter the water first. Your wrist should be tilted down and positioned above the fingers, and your elbow will be raised above the wrist.'
 'Keep your fingers spread thin and about 30 inches wide to hold your stroke safe. [substeps] Your fingertips should also be far enough apart to incorporate with your other fingers but without gripping them the whole time.'
 ""Then, unclasp your hands from each other, and breathe in and out, to get the water in your body down. You should feel like you're leaning across a puddle, so apply pressure with your fingers.""
 ""Bend your elbow and lower your arm into the water with your palm facing upward, then push your arm away from your body until it's almost directly above your head on a horizontal surface. Your elbow should be in line with your forehead, then you can get out of the water with it.""]",@
"[header] How to make an elastic band "" braid "" [title] Prepare your hair. [step] Brush your hair and spray a little dry shampoo at the roots. [title] Pull your hair into a ponytail.","['[step] The ponytail should be about 1 inch (2.5 cm) high so you will have enough hair to wrap around your wrist at this point. You can also skip braiding and just tie it around your scalp instead.'
 ""[step] It is easier to do this to the side if you are doing your own hair. If you are doing someone else's hair, consider doing it at the back.""
 '[step] Consider braiding in three sections into a neat ponytail. [substeps] If your hair is very coarse use all three sections.'
 '[step] Alternatively, if you have naturally straight hair, use your bangs as an alternative. You can use either a neck scarf or a bandana.']",A
"[header] How to make taco sauce [title] Whisk together the tomato sauce and seasonings. [step] In a medium mixing bowl, whisk together the tomato sauce, chili powder, cumin, garlic powder, onion powder, paprika, cayenne pepper, apple cider vinegar, and honey. Mix until smooth and evenly combined.","['Transfer the mixture to a fine-mesh strainer to stop the ketchup from dripping into the bowl. [substeps] When you are finished, stir the ketchup and tomato mixture together again.'
 '[substeps] The basil seeds in the cayenne pepper, followed by any of the peppers will create the mixture. The peppers have to be finely chopped before mixing them in.'
 '[substeps] Use plain tomato sauce, not tomato sauce previously seasoned with other herbs and spices. Using a flavored tomato sauce can throw off the final taste of the taco sauce.'
 '[title] Add the tomatoes and paprika. [step] In a medium mixing bowl, beat the onions and/or garlic till fully combined and combine.']",B
"[header] How to make clove cigarettes or kretek [title] Gather your looseleaf tobacco and whole cloves. [step] Depending on how much clove you like, you can do a clove: tobacco ratio of anywhere from 1:3 to 2:3. Any more than that and it will not burn properly.","['[title] Buy one clove of whole cloves. [step] Grosgrain is the best one to start with, since the garlic potassium contains magnesium, so if you only use one pod, you will not produce any flavor! [title] Get everyone together in an underground cellar or room.'
 '[title] Cut your cloves at the stem. [step] The main difference between old split and new clip cloves is that they are of the same type.'
 '[title] Start to prepare the cloves for inclusion. [step] A clove is actually a dried flower.'
 '[title] Peel the skin off the cloves. [step] The peel is best done in a pan so that you can heat it up more evenly.']",B
[header] How to put on a loincloth [title] Use leather for a comfortable and durable loincloth. [step] Leather is a common material used in most loincloths. Try using leather for a more durable and traditional loincloth.,"['They provide great protection against the elements and are more and more comfortable. They are long and stick to the lower body, though they can also be added with feathers.'
 ""Cloth looks appropriate compared to other fabrics and also hides some of the body's flaws so you look a bit like that particular man. [substeps] Leather, on average, is a breathable, breathable material (especially when it's slept on).""
 'Cooler areas are probably best, as they do not provide as much material and can be more expensive. However, the lightcloth should be fairly breathable, as it will prevent excessive sweating.'
 'However, leather can be quite warm and is not a very breathable material. Certain leathers can be bought in bulk at various fabric or textile supply stores.']",C
"[header] How to make bananas ripen faster [title] Put the bananas in a paper bag. [step] Bananas produce ethylene gas, a hormone that triggers ripening. Keep them in a paper bag to trap more of this gas near the fruit.","[""Large, unripe bananas are a good bet, as they can continue to produce ethylene gas through ripening. [substeps] One big bowl works well, since large, unripe bananas won't spoil right away.""
 '[substeps] Resist the urge to squeeze the bananas. Wrap the bag lightly with a rubber band or otherwise press them down gently with enough pressure to help them ripen quicker.'
 '[substeps] Avoid paper bags with a clay or waxy coating, which may absorb the ethylene. A plastic bag blocks oxygen from reaching the fruit, which can sometimes lower the production of ethylene.'
 ""Cheesecloth bags produce ethylene gas too, so if you're using cheesecloth bags, place them in a tightly closed bag. If working in a garage, clean immediately.""]",B
"[header] How to get a job as a mortuary makeup artist [title] Spread the word about your services among local business. [step] List your services online and leave business cards at salons that don't have a mortuary makeup artist on staff. Making connections within the community can lead to referrals, individual freelance jobs, or a full-time position.","['Ask if there are any publicly-traded businesses in your area that would be willing to split vacation time with you. [substeps] Most body shops hire large numbers of makeup artists, so you might be able to earn a little extra.'
 ""Be selective and don't neglect to showcase a strong foundation to build a search for jobs. [substeps] If the attraction is for time-sensitive applicants, emphasize it to your clients and let them know how much they mean to you.""
 '[substeps] Keep in mind that there will be more opportunities and higher-paying mortuary makeup artist jobs in highly populated areas. [title] Reach out to funeral homes in your area.'
 '[substeps] Locate a local mortuary makeup artist and ask them to write a hiring letter and share it with prospective employers. Keep in mind that even if you have been hired for a smaller role, employers still may want to hire you again.']",B
"[header] How to look busy even when you're not [title] Take some notes. [step] Jotting down things on a notepad or sticky note can make you look busy in almost any situation. It helps to keep your writing just a bit hard to read, so people don't know what you're actually writing without looking closely at it.","[""[substeps] Some notes on a notepad or sticky note can help. You can store them on a notepad, too, in case your mind gets confused about what you're writing.""
 ""[substeps] Of course, what you're writing doesn't need to be on task. Write a grocery list or the next great novel.""
 '[substeps] Always go on a handwritten note to yourself that is relatively easy to read. You can sometimes forget some of your thoughts if you write before you actually write.'
 '[substeps] Take a sheet of paper and mark notes down for the alarm in case you fall asleep. Write down notes as early as possible in the morning, before everyone else is up.']",A
"[header] How to make chewing gum [title] Heat the ingredients. [step] Place the gum base, corn syrup, glycerine, citric acid and bubble gum flavoring in the top part of a double boiler. Place the double boiler on the stove and turn the burner to medium high.","[""[title] Add the melted gum base mixture to the warm water. [step] Beat the ingredients together one at a time until they're the consistency of peanut butter.""
 'Put the rest of the ingredients except for the sugar back into the boiler and heat them on medium until the sugar is dissolved. [substeps] Stir the gum base often to keep it from scorching.'
 'Stirring occasionally with a spoon, heat the mixture until it becomes warm and gooey. [substeps] You can find gum base, glycerine and citric acid at candy supply stores or online retailers.'
 ""[substeps] There are many ways to do this, but you want to choose a place that is relatively safe, away from heat sources. If you're working in a hot environment, place the ingredients in a glass bowl or bowl and let the ingredients melt for 20 to 30 minutes before proceeding to the next step.""]",B
"[header] How to fold serviettes [title] Recognize different serviette sizes. [step] Serviettes come in a variety of sizes for different meals and functions. Aside from a few specific napkin types, serviettes are almost always perfect squares.","['Cocktail napkins are generally too small to fold, but most other napkins will be large enough for most fancy serviette folds. [substeps] Cocktail napkins are usually six to 9 inches square (15 to 23 cm).'
 'Here are some examples of serviettes : [substeps] A square is a square with either hexagonal or rectangles inside. This means there is about 8 corners inside the square.'
 'Both serviettes and servings should be spaced evenly apart. [substeps] For example, a square of 2 with a quarter-inch seam allowance of 1/2 an inch and 2 with a slit allowance of 2/4 inch equals 1 square of 1/8 an inch.'
 'Be sure to check the size and shape of your table cloth before choosing one for every table you choose. [substeps] For the most accurate measurement, begin by measuring the width and form of the square.']",@
[header] How to do hairstyles with a twisty bump [title] Brush your hair. [step] Brush gently to remove all tangles. Part your hair as usual.,"['Tease the top section of your hair next and pin the bottom section into place. Smooth out any flyaways and a bit of the top section of your hair.'
 ""[substeps] If you have long or wavy hair, keep a very fine strand of your hair forward at all times so it doesn't tangle. You can make this part as short or longer as you want.""
 '[title] Gather your hair into a front part. [step] This will be known as a bump-bob style.'
 'The fewer tangles in your hair, the neater the look turns out. [title] Twist a small front section of hair.']",C
"[header] How to care for straight hair [title] Shampoo and condition medium-to-thick straight hair 2-3 times per week. [step] Naturally straight hair that has a medium or thick texture can be shampooed 2-3 times per week, or every other day if you're very active. [substeps] Use a regular or hydrating shampoo, or shampoo for color-treated hair if you use color in your hair.","[""For curly hair, use a clarifying shampoo that includes sulfates. If you're under the age of 20 and have hair that's already dyed blonde, skip this step.""
 '[title] Comb and condition your hair once or twice a week. [step] Thinning hair can cause hair to age a lot faster, so regular regular brushing can help your hair grow out a bit more.'
 ""[title] Shampoo naturally fine, straight hair every day if it's oily. [step] A drawback of naturally straight, fine hair is that it can become oily quickly.""
 'Using a treatment formulated specifically for curly hair will make the shampoo more hydrating. If you have curly hair, try shampooing a few times per week in the morning or evening.']",B
"[header] How to remove splat hair color [title] Crush 6 vitamin c tablets into a fine powder. [step] Put the tablets into a plastic bag, then seal the bag and place it on a cutting board. Use a rolling pin or hammer to crush the tablets into a powder consistency.","['Scrape out any extra lumps and dust the powder out. [substeps] Store the powder in an airtight container or in the refrigerator for 3-6 months.'
 'You can also add an aspirin and mint to help with the crunch. [substeps] After crushing the tablets, you can place the powders in a food processor.'
 'Keep crushing until all of the large granules have been broken down. [title] Mix the vitamin c with 1/4-1/2 cup (60-120 ml) of anti-dandruff shampoo.'
 'You should crush only about 20 tablets to a coarse powder. If you are using whole tablets, crush 2 pills to make 1 tablespoon of powder.']",B
"[header] How to apply for unemployment in texas [title] Meet threshold income requirements. [step] Texas, like other states, requires that you meet a certain minimum taxable income in order to qualify for unemployment benefits. They will look at the first 4 of the last 5 quarters as a "" base period.","['"" in this case, your maximum income is $99 , 250. [substeps] Other taxes that are required for unemployed individuals include housework, student loans, wages, mortgages, sick days, and spousal support.'
 '"" essentially, then, you must have made at least a minimum income for the full year preceding the last quarter, before you applied for benefits. [substeps] If you do not have enough taxable wages from employment in the base period, you aren\'t eligible for unemployment benefits.'
 '"" [substeps] You will be required to be at least 65 years of age. Income earned in payroll may be supported by employment for a limited period.'
 '"" but you must be over the age of 40 years old and under the age of 25 before you qualify for benefits. [substeps] If you do not meet the minimum taxable income requirements, or if your income is too insufficient, you will need to seek help from your family to start the process.']",A
"[header] How to wear brogues [title] Go with full brogue shoes for a detailed, fancy footwear option. [step] Full brogues have a pointed toe cap and extending lines or "" wingtips "" that run along both sides of the shoe. They have perforations in the leather across the edges, and many styles also have decorative holes on the center of the toe cap (called the "" medallion "").","['[substeps] From above, the cap shape looks like a "" w, "" which is why they are also called wingtips. Full brogues are best styled with professional outfits.'
 '[substeps] When wearing colored brogues, color-issued shoes are often added as a wide-brimmed hat because the toe cap is a shoulder-cap. [title] Wear bright toe pads for a casual look.'
 'The plastic ligaments on the inner sides of the shoes are tucked into the toe caps to ensure your toe cap will fit right in. [title] Choose crop tops or cotton-lined dresses for formal styles.'
 'These do not carry as much wear on the one end of the shoe. Still, a good footwear of black or brown is important.']",@
"[header] How to shower quickly [title] Take cold showers. [step] If the water is cold, you may find that you're less inclined to wallow in the shower. Jump into the shower as soon as you turn it on, and try to keep the shower on for under two minutes.","['Beyond efficiency, cold showers can increase alertness, improve circulation, stimulate weight loss, ease stress, and speed muscle recovery. [title] Complete other tasks while the water heats up.'
 '[title] Keep your hair out of the way. [step] The easiest way to shower from home is to do it yourself.'
 ""Remember to take every precaution that you can to stay cool-it helps with maintaining clean running water. [substeps] Some companies, like john macdonald international, offer quicker showers, but others don't.""
 'By doing this, you are taking more water out of your body than if you were standing in the bathroom constantly cleaning your house. [substeps] On average, showers should last between thirty and forty minutes, while a little more is usually enough.']",@
"[header] How to bake your makeup [title] Apply your liquid foundation. [step] If you use an all-over liquid foundation as part of your makeup routine, you should apply this before beginning the baking process. Do not apply any sort of powder foundation.","['[substeps] Before you begin the baking process, wash your face using your fingers. As you are doing this, gently scrub your face to get out all dirt and oil as well as along any noticeable acne spots.'
 'Products containing silicone and alpha hydroxy acids can transfer to your skin, leading to thin foundations. Simply apply your primer all over your face, but do not use your fingers, as the primer may have potential residue.'
 'This will most likely make your foundation peel easily and leave a medium layer on your face. [substeps] Before applying your liquid foundation, you should make sure you wet your face with warm water before using it.'
 'Baking will only set any liquid products on your face. Use your liquid foundation to even out your skin tone, creating a smooth base.']",C
"[header] How to make turkey sausage [title] Clean an area for mixing use. [step] Make sure your hands are thoroughly cleaned, as this will be your mixing tool. [title] Add 2 lbs (0.9 kg) ground turkey to the large mixing bowl.","['[step] Crush up 1/2 teaspoon 1 pinch of salt. [substeps] Note that this trick should be used for most kinds of meats, including beef and pork.'
 '[step] This is a typical amount for most turkey sausage recipes. [title] Combine all the seasonings in the small mixing bowl.'
 '[step] Make sure to scrape off any pieces of meat. [title] Stir the turkey together with a whisk or fork, until you achieve a small ball.'
 '[step] You can use dry tap water, but do not exceed the minimum amount of water as you do not want the ground turkey to rot. The better clean water you use, the better the flavour will develop as well as to absorb some of the smells.']",A
"[header] How to make a baked cheesecake [title] Use a springform pan. [step] Cheesecakes are notoriously crumbly, so choosing the right pan will ensure that your cheesecake comes out smoothly when you take it out of the pan. For the best outcome, use a springform pan.","['[substeps] For an easy way to prepare your crust, try using a crust tin instead. There are three varieties of springform pans: flat, foil-lined and the traditional large-dish, round, or square type.'
 'This sort of pan is comprised of round cake pan with a removable bottom. It is all held together by a sprung collar.'
 '[substeps] If you are worried about getting that perfect cheesecake, use a crust scoop instead of a bread scoop. You can use a regular (no dip) pan.'
 '[substeps] A larger pan is much easier to work with and is much more difficult to twist and saute. Choose a large pan for placing your cheesecake.']",A
"[header] How to start a single parent support group [title] Determine the best way to run your support group. [step] You can have an online group, or one that meets in person. [substeps] Remember that there are already several online resources for single parents.","['You can join established groups including parents without partners and single parents network online. A group that meets in person would likely be more meaningful for single parents.'
 'If you meet over the phone, ensure that you receive internet connectivity. Try contacting your phone company to make sure.'
 'Pinterest, bing, and forums are great options. Look for groups that are local to your area.'
 'Search for the appropriate name for a group and a page detailing the resources. Be creative and pick a name that is easy to remember (which is okay to do, but important to you) and is appropriate to your group.']",@
[header] How to chop cilantro [title] Fill a medium sized bowl with cold water. [step] Take the bundle of cilantro and place it inside the bowl. Twirl the cilantro around in the bowl and then let it soak for about 10 minutes.,"[""This will loosen the boleno, which is the tough, chewy substance that you'll discard when you're finished. [title] Cut the boleno into cubes.""
 'This helps to gently loosen any dirt particles on the cilantro leaves. [title] Set the bundle of cilantro in a colander.'
 'This will loosen any lye in the water and prevent the cilantro from sticking. [substeps] If the cilantro binds too tightly, it may be stuck.'
 '[substeps] The water will help the cilantro soak, but you can use tap water, boiled water, or ice water for best results. [title] Form a mound by dipping the ends of the stems into the water.']",A
[header] How to replace a toilet handle [title] Shut off the water valve to the toilet and flush the toilet to drain any water from the tank. [title] Remove the lid from the toilet tank. [title] Unscrew the wing nut that holds the tank lever to the back of the handle.,"['[title] Use the 3 mm allen wrench to unscrew the bolts from the side of the handle. [step] Release the bolts with just the allen wrench.'
 '[step] This nut can be found in the back of the machine. Release the tension on the band behind the lever and gently unscrew to reveal the toilet handle.'
 '[title] Unscrew the other wing nut attaching the tank lever to the upper lip of the toilet. [title] Cut the bolts that hold the tank lever in place using a pair of shears, if needed.'
 '[step] Set it aside to be reinstalled with the new handle. [title] Unscrew the nut from the back of the handle.']",C
[header] How to make a baby bib [title] Trace a bib pattern. [step] Bib patterns are easy to make yourself. Make sure you draw neck straps about an inch wide to leave room for the snaps on each end.,"['Add less eye catching straps if you want the waistline to keep the bib in place. [substeps] Keep the neck strap in the longer side of the bib.'
 'Baby bibs should be about : [substeps] 10.75 inches from top to bottom. 8.5 inches from side to side.'
 'Cut out either side of a bib for the base (felt side) of the pattern to dip into. [substeps] The quality of the fabric determines how many snaps you will need.'
 ""Bring a folded fabric sheet and cut out a piece that is about as wide as the circumference of your baby's neck. [substeps] If you don't have a sheet, use folding paper to make a bib pattern.""]",A
"[header] How to do a doll style look for halloween [title] Prepare your skin. [step] Rub moisturiser in with your fingers. At first it will look oily, but don't worry-that will go soon! If you are having a long night (such as a halloween party or trick or treating) and you would like your makeup to stay on for a long time, use primer.","['This will help to add on an extra few hours of that doll-like look. Add this after applying the moisturiser.'
 'Use some mozzarella if you want to put a bit of a shine to your face. You can also use some simple soap and warm water.'
 ""Also, put on concealer for your eye brows-need more or less for a dramatic look? Try using avocado. And you're all set! [title] Brush your hair back and let it dry.""
 'Lightly dampen your face using your fingertips or a makeup sponge. Use makeup remover or a washcloth to peel off oil.']",@
"[header] How to roll up jeans [title] Choose your pair of jeans. [step] For women's styles, the super skinny cuff looks best with jeans that are very form fitting, often labeled "" skinny "" jeans. These jeans are straight-legged jeans, and usually have a bit of stretch to the fabric.","[""Men's shoes that don't have the ability to cross will work well for this step, as they fit firmly, without too much design. [title] Fold an old cotton ball or cloth into a square shape.""
 'You should try to pay attention to the fit and sizing of your jeans to determine how much of your current relationship can be taken care of during your workout. You should also check out the style charts for your region of that region.'
 '[substeps] For men\'s styles, the super skinny cuff works for jeans that are slim and straight-legged. These jeans can also be labeled "" skinny "" or "" slim fit "" jeans.'
 ""That means if you roll up your jeans very infrequently they won't be prone to creasing. [substeps] For men's styles, you should always opt for them with some specific cuts, like thin denim and slim fit jeans.""]",B
"[header] How to care for gardenias [title] Find an area with full sun to light shade to plant your gardenias. [step] Unlike most plants, gardenias are delicate and picky about their environment. [substeps] Gardenias thrive in partial shade, high humidity, and an even supply of moisture and nutrients.","['Because gardenias are social plants, they need full sun in order to thrive. [title] Check on your plant each week for leaf growth.'
 ""Avoid exposing your plant to these conditions if it is going to be an active, well-maintained plant, especially if you're not sure where to grow it. Gardenias, after all, don't require full sunshine for their leaves to flourish and retain their beautiful color.""
 'You will want a spot that gets six to eight hours of full sun each day, but three very sunny days will be better. [title] Place your gardenias in an area with well-drained soil.'
 'Though they can be grown indoors, the hot, dry air and gloomy winter days can send the gardenia into a downward spiral. Ideal seasons to plant gardenias are during spring or fall, when there is the perfect amount of sun without too high a heat.']",C
"[header] How to have an emotionally healthy divorce [title] Avoid being combative. [step] Because of what you might hear/see on tv and from others who have gotten divorced, you may think that getting divorced has to be a big fight. The truth is, however, that it doesn't.","['Keeping this in mind can help you from being defensive. [substeps] Try to get on the same page with your ex.'
 'What has happened in the past has happened, and it is likely that you and your spouse are just as likely to fight in the future. Listening to someone explain what happened is impolite.'
 ""Sometimes, you might feel resentful because you don't feel that the decision is right for you. Studies have shown that to have an emotionally healthy divorce, your spouse has to fight for the outcome.""
 ""Unless you are at fault for what happened, you should avoid using the word' divorce'. It's a way of telling your spouse that you won't see them again because of what happened.""]",@
"[header] How to transfer your number to a new iphone [title] Power off your old phone. [step] Before removing the sim card from your phone, make sure the phone is powered off. [title] Locate the sim tray on your old phone.","[""[step] This will vary by phone model, so it will typically be located on the front of the passenger side door or in the driver's side door. The sim tray may be green, or it may also have a name or symbol instead.""
 ""[step] You can take your phone's sim tray to a nearby receptacle. Use the soft-touch touch provided by the screen to flip the tray onto the soft side.""
 '[step] For all phones, a sim tray is built into the inside of the phone so that you can store older phones and other hard drives. It is usually located at the top of the phone, near the tray.'
 '[step] The sim tray is a oval shaped compartment with pin hole located on the side of your phone. On samsung phones, the sim tray is usually located on the top of the phone.']",C
"[header] How to stimulate gross motor skills in infants [title] Get your baby moving. [step] From being unable to lift up her head to being able to sit unsupported, your infant's body undergoes tremendous changes during the first six months. This is an exciting time, and you should encourage your baby to move around as much as possible.","['[substeps] Give her a lot of opportunities to move. Engage her in fun games that will prod her to use her neck, chest, arms, and legs.'
 ""Focus on this while your baby is being born: keep moving as much as possible. Speak with your doctor or contact the pediatrician if you are worried about your baby's motor ability.""
 '[substeps] Place your baby on a firm surface in a spacious living room. Stop playing games immediately and let her explore.'
 'Interacting with your baby will make basic tasks, like organizing beds and toys, a lot easier. [substeps] Consider making sure your baby is able to lift up her head.']",@
A man is standing under a basketball goal. a group of boys,"['is listening to the coach.'
 'are hiding behind a fence, waiting for the ball.'
 'are doing fake karate moves.' 'run onto the court and begin fencing.']",@
[header] How to get a husband [title] Get out there. [step] You aren't going to meet the man of your dreams by sitting home and watching bad reality shows. You have to get out and start meeting people.,"['There are many ways to get that done. [substeps] Bring your parents, or get out of there.'
 ""There are many reasons why people flirt at the thought of meeting a man. By getting out there, you'll be taking the relationship to a whole new level.""
 'Meet someone so you can meet men of your dreams. [substeps] For instance, you might try grabbing a movie together or a bar to watch.'
 'You have to enlist your friends and family in helping you meet new people. One of these guys you meet could be the one.']",C
[header] How to lighten your hair without bleach [title] Try lemon juice as a lightener. [step] This method only works for hair that has not been color treated. Lemon juice seems to be one of the most popular methods of lightening hair without bleach.,"[""It's created by a small amount of lemon juice and is applied to hair that has already had bleaching which removes most of the color. The liquid lemon juice is applied to the hair for 20 to 30 minutes in sections and over time, it gradually relaxes the root system, decreasing the occurrence of the condition.""
 'Your hair naturally gives off more heat during the bleach process than it typically might after a dye job, leaving your hair lighter. [substeps] Wash your hair for about 15 minutes and then use a small amount of lemon juice.'
 'To use this method : [substeps] Combine 2 tablespoons of witch hazel and 1 tablespoon of altoids with lemon juice. Place the mixture into a hair spray bottle.'
 ""It will produce a subtle all-over lightening effect if you apply it to all of your hair or subtle highlights if you only apply it to some select sections. You'll want to use pure lemon juice to do this.""]",C
"[header] How to coach youth basketball [title] Watch a lot of basketball. [step] The best coaches are also great students of the game. Find basketball games wherever you can-on television, online, or down at the local recreation center-and study them.","['Study their practices and techniques to get to know them better. [title] Teach your teammates how to "" fist bump "".'
 ""It's easy to get too immersed in the game or forget to think about the game at all. Catch up with the best basketball players you know and watch them play.""
 'Identify what plays or systems work best and which ones are less effective. Take plenty of notes, and go over them when the game is finished.'
 ""For the most part, get a lot of interest out of the get-go, and you'll see a lot of fun. Pay attention to every dribble, pitch, and hit.""]",B
